GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000197279.4,127.4132764,-1.013866218,0.278808222,-3.636428695,0.000276444,0.002143648
ENSG00000197355.11,927.4065403,-1.153450502,0.136846005,-8.428821126,3.49E-17,4.25E-15
ENSG00000197934.8,38.18846167,-1.505951072,0.488766931,-3.081123083,0.002062214,0.011273832
ENSG00000203778.8,41.91133191,-1.688050072,0.471751179,-3.578263597,0.000345885,0.002575996
ENSG00000213190.4,513.0933449,-1.188595258,0.160947665,-7.384979812,1.52E-13,1.04E-11
ENSG00000213901.11,30.21592229,-1.948048694,0.571479359,-3.40878225,0.000652535,0.004409678
ENSG00000215458.8,73.63891671,-1.057741815,0.400126712,-2.643517127,0.008204961,0.034219653
ENSG00000216937.13,145.6704724,-1.060868054,0.256207701,-4.140656388,3.46E-05,0.000372968
ENSG00000221887.6,26.45210931,-1.78196871,0.586251897,-3.03959564,0.00236896,0.01264634
ENSG00000221923.9,45.40165453,-1.21606931,0.437147654,-2.781827374,0.005405378,0.024514351
ENSG00000223522.2,54.91000849,-1.106355879,0.42494705,-2.603514671,0.009227332,0.037597343
ENSG00000224660.2,119.4907782,-1.198356183,0.280030955,-4.279370408,1.87E-05,0.000220247
ENSG00000225264.3,23.96401992,-1.592357156,0.619690039,-2.569602631,0.010181523,0.04052771
ENSG00000225489.7,112.0223745,-1.513909926,0.292715165,-5.171955908,2.32E-07,4.68E-06
ENSG00000226803.9,33.67894972,-1.308196061,0.520452087,-2.51357636,0.01195139,0.046054124
ENSG00000227214.2,25.95417711,-1.825378153,0.589479185,-3.096594758,0.001957573,0.010804077
ENSG00000227855.3,93.11931377,-1.320229612,0.361625059,-3.650824464,0.0002614,0.002046656
ENSG00000227953.7,31.43788271,-1.563847211,0.529337733,-2.954346748,0.003133317,0.015802249
ENSG00000228451.4,71.58713858,-1.000896391,0.357279173,-2.801440628,0.0050875,0.023327664
ENSG00000228775.8,20.45856089,-1.945278304,0.67851531,-2.866963024,0.004144314,0.019839632
ENSG00000229358.3,43.66182819,-1.412595846,0.447557076,-3.156236204,0.001598194,0.009191172
ENSG00000230084.6,64.18267172,-1.366411641,0.463481819,-2.948145069,0.00319687,0.016061762
ENSG00000230524.8,34.19995875,-1.388412231,0.522526597,-2.657113033,0.007881301,0.033081326
ENSG00000231305.4,73.83490535,-1.112370858,0.345843994,-3.216394895,0.001298121,0.007799885
ENSG00000232310.8,1252.232722,-1.027974839,0.13578039,-7.570863805,3.71E-14,2.85E-12
ENSG00000232485.3,56.59292853,-1.000553726,0.399251888,-2.506071373,0.012208097,0.046771877
ENSG00000232545.1,17.96939626,-2.060217489,0.717523356,-2.871289795,0.004088006,0.019618586
ENSG00000232818.2,109.9629868,-1.23762077,0.319214413,-3.87708299,0.000105716,0.000966144
ENSG00000234129.8,52.37278781,-1.009074908,0.404515312,-2.494528333,0.012612466,0.047961321
ENSG00000236213.2,29.70045503,-1.708934069,0.547909653,-3.119007047,0.001814616,0.010164192
ENSG00000236529.2,25.2335401,-2.525422006,0.670850478,-3.764508024,0.000166877,0.001414144
ENSG00000237596.7,20.48221669,-3.217293463,0.790942811,-4.067668884,4.75E-05,0.000490892
ENSG00000237753.2,115.0518201,-1.450237597,0.302305125,-4.797264335,1.61E-06,2.56E-05
ENSG00000247934.4,76.59822206,-1.255323774,0.349314741,-3.593675349,0.000326046,0.002454402
ENSG00000248092.8,67.83655962,-1.049059414,0.358708843,-2.924542938,0.003449625,0.017035169
ENSG00000248323.7,169.9874695,-1.794972972,0.268101573,-6.695122868,2.15E-11,1.05E-09
ENSG00000248508.8,90.32630314,-1.166005313,0.352073526,-3.311823321,0.000926901,0.005894786
ENSG00000253210.2,44.42266356,-1.659359338,0.45737545,-3.628002633,0.000285622,0.002204672
